date_,Geography,Variable,Value
2011-02-01,National,Total Private,107071000
2011-01-01,National,Goods Producing,17291000
2011-01-01,National,Government,22128000
2011-01-01,National,Service-Providing,111469000
2011-01-01,National,Total Private,106632000
2010-12-01,National,Goods Producing,17704000
2010-12-01,National,Government,22607000
2010-12-01,National,Service-Providing,113918000
2010-12-01,National,Total Private,109015000
2010-11-01,National,Goods Producing,17979000
2010-11-01,National,Government,22767000
2010-11-01,National,Service-Providing,113951000
2010-11-01,National,Total Private,109163000
2010-10-01,National,Goods Producing,18094000
2010-10-01,National,Government,22657000
2010-10-01,National,Service-Providing,113530000
2010-10-01,National,Total Private,108967000
2010-09-01,National,Goods Producing,18103000
2010-09-01,National,Government,22101000
2010-09-01,National,Service-Providing,112547000
2010-09-01,National,Total Private,108549000
2010-08-01,National,Goods Producing,18198000
2010-08-01,National,Government,21239000
2010-08-01,National,Service-Providing,111960000
2010-08-01,National,Total Private,108919000
2010-07-01,National,Goods Producing,18098000
2010-07-01,National,Government,21327000
2010-07-01,National,Service-Providing,111996000
2010-07-01,National,Total Private,108767000
2010-06-01,National,Goods Producing,18019000
2010-06-01,National,Government,22738000
2010-06-01,National,Service-Providing,113412000
2010-06-01,National,Total Private,108693000
2010-05-01,National,Goods Producing,17755000
2010-05-01,National,Government,23399000
2010-05-01,National,Service-Providing,113558000
2010-05-01,National,Total Private,107914000
2010-04-01,National,Goods Producing,17520000
2010-04-01,National,Government,22992000
2010-04-01,National,Service-Providing,112675000
2010-04-01,National,Total Private,107203000
2010-03-01,National,Goods Producing,17248000
2010-03-01,National,Government,22913000
2010-03-01,National,Service-Providing,111825000
2010-03-01,National,Total Private,106160000
2010-02-01,National,Goods Producing,17087000
2010-02-01,National,Government,22765000
2010-02-01,National,Service-Providing,111153000
2010-02-01,National,Total Private,105475000
2010-01-01,National,Goods Producing,17206000
2010-01-01,National,Government,22376000
2010-01-01,National,Service-Providing,110598000
2010-01-01,National,Total Private,105428000
2009-12-01,National,Goods Producing,17721000
2009-12-01,National,Government,22840000
2009-12-01,National,Service-Providing,112952000
2009-12-01,National,Total Private,107833000
2009-11-01,National,Goods Producing,18041000
2009-11-01,National,Government,23007000
2009-11-01,National,Service-Providing,113179000
2009-11-01,National,Total Private,108213000
2009-10-01,National,Goods Producing,18234000
2009-10-01,National,Government,22905000
2009-10-01,National,Service-Providing,112938000
2009-10-01,National,Total Private,108267000
2009-09-01,National,Goods Producing,18399000
